s,CH1[V]
-1.7072E-02,3.69E-02
-1.7068E-02,3.69E-02
-1.7064E-02,-4.31E-02
-1.7060E-02,-4.31E-02
-1.7056E-02,3.69E-02
-1.7052E-02,-4.31E-02
-1.7048E-02,-4.31E-02
-1.7044E-02,-4.31E-02
-1.7040E-02,3.69E-02
-1.7036E-02,-4.31E-02
-1.7032E-02,-4.31E-02
-1.7028E-02,-4.31E-02
-1.7024E-02,-4.31E-02
-1.7020E-02,1.17E-01
-1.7016E-02,3.69E-02
-1.7012E-02,-4.31E-02
-1.7008E-02,-1.23E-01
-1.7004E-02,-4.31E-02
-1.7000E-02,-4.31E-02
-1.6996E-02,-4.31E-02
-1.6992E-02,3.69E-02
-1.6988E-02,-4.31E-02
-1.6984E-02,-4.31E-02
-1.6980E-02,3.69E-02
-1.6976E-02,-4.31E-02
-1.6972E-02,3.69E-02
-1.6968E-02,-4.31E-02
-1.6964E-02,-4.31E-02
-1.6960E-02,3.69E-02
-1.6956E-02,-4.31E-02
-1.6952E-02,3.69E-02
-1.6948E-02,-4.31E-02
-1.6944E-02,3.69E-02
-1.6940E-02,-4.31E-02
-1.6936E-02,3.69E-02
-1.6932E-02,3.69E-02
-1.6928E-02,3.69E-02
-1.6924E-02,3.69E-02
-1.6920E-02,3.69E-02
-1.6916E-02,3.69E-02
-1.6912E-02,-4.31E-02
-1.6908E-02,-4.31E-02
-1.6904E-02,3.69E-02
-1.6900E-02,3.69E-02
-1.6896E-02,-4.31E-02
-1.6892E-02,-4.31E-02
-1.6888E-02,-4.31E-02
-1.6884E-02,-4.31E-02
-1.6880E-02,-4.31E-02
-1.6876E-02,-4.31E-02
-1.6872E-02,-4.31E-02
-1.6868E-02,-4.31E-02
-1.6864E-02,3.48E+00
-1.6860E-02,3.32E+00
-1.6856E-02,3.40E+00
-1.6852E-02,3.32E+00
-1.6848E-02,3.32E+00
-1.6844E-02,3.40E+00
-1.6840E-02,3.40E+00
-1.6836E-02,3.40E+00
-1.6832E-02,3.32E+00
-1.6828E-02,3.24E+00
-1.6824E-02,3.32E+00
-1.6820E-02,3.32E+00
-1.6816E-02,3.32E+00
-1.6812E-02,3.32E+00
-1.6808E-02,3.32E+00
-1.6804E-02,3.32E+00
-1.6800E-02,3.32E+00
-1.6796E-02,3.32E+00
-1.6792E-02,3.24E+00
-1.6788E-02,3.48E+00
-1.6784E-02,3.32E+00
-1.6780E-02,3.32E+00
-1.6776E-02,3.32E+00
-1.6772E-02,3.32E+00
-1.6768E-02,3.24E+00
-1.6764E-02,3.32E+00
-1.6760E-02,3.32E+00
-1.6756E-02,3.32E+00
-1.6752E-02,3.32E+00
-1.6748E-02,3.32E+00
-1.6744E-02,3.32E+00
-1.6740E-02,3.32E+00
-1.6736E-02,3.32E+00
-1.6732E-02,3.32E+00
-1.6728E-02,3.32E+00
-1.6724E-02,3.32E+00
-1.6720E-02,3.32E+00
-1.6716E-02,3.32E+00
-1.6712E-02,3.32E+00
-1.6708E-02,3.32E+00
-1.6704E-02,3.24E+00
-1.6700E-02,3.32E+00
-1.6696E-02,3.24E+00
-1.6692E-02,3.24E+00
-1.6688E-02,3.32E+00
-1.6684E-02,3.24E+00
-1.6680E-02,3.24E+00
-1.6676E-02,3.32E+00
-1.6672E-02,-4.31E-02
-1.6668E-02,-4.31E-02
-1.6664E-02,3.69E-02
-1.6660E-02,-4.31E-02
-1.6656E-02,-4.31E-02
-1.6652E-02,-4.31E-02
-1.6648E-02,-1.23E-01
-1.6644E-02,-1.23E-01
-1.6640E-02,-1.23E-01
-1.6636E-02,-4.31E-02
-1.6632E-02,-4.31E-02
-1.6628E-02,-4.31E-02
-1.6624E-02,-4.31E-02
-1.6620E-02,-1.23E-01
-1.6616E-02,-4.31E-02
-1.6612E-02,-4.31E-02
-1.6608E-02,-1.23E-01
-1.6604E-02,-1.23E-01
-1.6600E-02,3.69E-02
-1.6596E-02,-4.31E-02
-1.6592E-02,-4.31E-02
-1.6588E-02,3.69E-02
-1.6584E-02,-4.31E-02
-1.6580E-02,-1.23E-01
-1.6576E-02,-4.31E-02
-1.6572E-02,-4.31E-02
-1.6568E-02,-4.31E-02
-1.6564E-02,3.69E-02
-1.6560E-02,3.69E-02
-1.6556E-02,3.69E-02
-1.6552E-02,3.69E-02
-1.6548E-02,-4.31E-02
-1.6544E-02,-4.31E-02
-1.6540E-02,-4.31E-02
-1.6536E-02,-4.31E-02
-1.6532E-02,-4.31E-02
-1.6528E-02,-4.31E-02
-1.6524E-02,3.69E-02
-1.6520E-02,-4.31E-02
-1.6516E-02,-4.31E-02
-1.6512E-02,-4.31E-02
-1.6508E-02,3.69E-02
-1.6504E-02,-4.31E-02
-1.6500E-02,-4.31E-02
-1.6496E-02,-4.31E-02
-1.6492E-02,-4.31E-02
-1.6488E-02,3.69E-02
-1.6484E-02,-4.31E-02
-1.6480E-02,3.69E-02
-1.6476E-02,-4.31E-02
-1.6472E-02,-4.31E-02
-1.6468E-02,-4.31E-02
-1.6464E-02,-4.31E-02
-1.6460E-02,3.69E-02
-1.6456E-02,3.69E-02
-1.6452E-02,-4.31E-02
-1.6448E-02,-4.31E-02
-1.6444E-02,3.69E-02
-1.6440E-02,-4.31E-02
-1.6436E-02,-4.31E-02
-1.6432E-02,1.17E-01
-1.6428E-02,3.69E-02
-1.6424E-02,3.69E-02
-1.6420E-02,3.69E-02
-1.6416E-02,3.69E-02
-1.6412E-02,-4.31E-02
-1.6408E-02,-1.23E-01
-1.6404E-02,3.69E-02
-1.6400E-02,-4.31E-02
-1.6396E-02,-4.31E-02
-1.6392E-02,-4.31E-02
-1.6388E-02,3.69E-02
-1.6384E-02,-4.31E-02
-1.6380E-02,3.69E-02
-1.6376E-02,3.69E-02
-1.6372E-02,-4.31E-02
-1.6368E-02,-4.31E-02
-1.6364E-02,3.69E-02
-1.6360E-02,3.69E-02
-1.6356E-02,-4.31E-02
-1.6352E-02,3.69E-02
-1.6348E-02,-4.31E-02
-1.6344E-02,-4.31E-02
-1.6340E-02,-4.31E-02
-1.6336E-02,3.69E-02
-1.6332E-02,-4.31E-02
-1.6328E-02,3.69E-02
-1.6324E-02,3.69E-02
-1.6320E-02,3.69E-02
-1.6316E-02,-4.31E-02
-1.6312E-02,-4.31E-02
-1.6308E-02,-4.31E-02
-1.6304E-02,-4.31E-02
-1.6300E-02,-1.23E-01
-1.6296E-02,3.69E-02
-1.6292E-02,-4.31E-02
-1.6288E-02,-4.31E-02
-1.6284E-02,-4.31E-02
-1.6280E-02,3.69E-02
-1.6276E-02,-4.31E-02
-1.6272E-02,3.69E-02
-1.6268E-02,-4.31E-02
-1.6264E-02,3.69E-02
-1.6260E-02,-4.31E-02
-1.6256E-02,-4.31E-02
-1.6252E-02,-4.31E-02
-1.6248E-02,-4.31E-02
-1.6244E-02,-4.31E-02
-1.6240E-02,-4.31E-02
-1.6236E-02,-4.31E-02
-1.6232E-02,-4.31E-02
-1.6228E-02,-4.31E-02
-1.6224E-02,-4.31E-02
-1.6220E-02,3.69E-02
-1.6216E-02,3.69E-02
-1.6212E-02,-4.31E-02
-1.6208E-02,3.69E-02
-1.6204E-02,-4.31E-02
-1.6200E-02,-4.31E-02
-1.6196E-02,-4.31E-02
-1.6192E-02,3.69E-02
-1.6188E-02,-4.31E-02
-1.6184E-02,3.69E-02
-1.6180E-02,-4.31E-02
-1.6176E-02,3.69E-02
-1.6172E-02,-4.31E-02
-1.6168E-02,3.69E-02
-1.6164E-02,3.69E-02
-1.6160E-02,-4.31E-02
-1.6156E-02,3.69E-02
-1.6152E-02,-4.31E-02
-1.6148E-02,3.69E-02
-1.6144E-02,3.69E-02
-1.6140E-02,3.69E-02
-1.6136E-02,-4.31E-02
-1.6132E-02,3.69E-02
-1.6128E-02,3.69E-02
-1.6124E-02,3.69E-02
-1.6120E-02,3.69E-02
-1.6116E-02,3.69E-02
-1.6112E-02,1.17E-01
-1.6108E-02,3.69E-02
-1.6104E-02,3.69E-02
-1.6100E-02,3.69E-02
-1.6096E-02,-4.31E-02
-1.6092E-02,3.69E-02
-1.6088E-02,3.69E-02
-1.6084E-02,3.69E-02
-1.6080E-02,3.69E-02
-1.6076E-02,-4.31E-02
-1.6072E-02,3.69E-02
-1.6068E-02,3.69E-02
-1.6064E-02,3.69E-02
-1.6060E-02,3.69E-02
-1.6056E-02,-4.31E-02
-1.6052E-02,-4.31E-02
-1.6048E-02,3.69E-02
-1.6044E-02,3.69E-02
-1.6040E-02,3.69E-02
-1.6036E-02,3.69E-02
-1.6032E-02,3.69E-02
-1.6028E-02,3.69E-02
-1.6024E-02,3.69E-02
-1.6020E-02,3.69E-02
-1.6016E-02,-4.31E-02
-1.6012E-02,-4.31E-02
-1.6008E-02,3.69E-02
-1.6004E-02,3.69E-02
-1.6000E-02,-4.31E-02
-1.5996E-02,3.69E-02
-1.5992E-02,3.69E-02
-1.5988E-02,-4.31E-02
-1.5984E-02,-4.31E-02
-1.5980E-02,3.69E-02
-1.5976E-02,3.69E-02
-1.5972E-02,-4.31E-02
-1.5968E-02,-4.31E-02
-1.5964E-02,-4.31E-02
-1.5960E-02,-4.31E-02
-1.5956E-02,-1.23E-01
-1.5952E-02,3.69E-02
-1.5948E-02,3.69E-02
-1.5944E-02,3.69E-02
-1.5940E-02,3.69E-02
-1.5936E-02,-4.31E-02
-1.5932E-02,-4.31E-02
-1.5928E-02,-4.31E-02
-1.5924E-02,-4.31E-02
-1.5920E-02,-4.31E-02
-1.5916E-02,3.69E-02
-1.5912E-02,-4.31E-02
-1.5908E-02,-4.31E-02
-1.5904E-02,-1.23E-01
-1.5900E-02,-4.31E-02
-1.5896E-02,-4.31E-02
-1.5892E-02,-4.31E-02
-1.5888E-02,3.69E-02
-1.5884E-02,-4.31E-02
-1.5880E-02,-4.31E-02
-1.5876E-02,-4.31E-02
-1.5872E-02,-4.31E-02
-1.5868E-02,-4.31E-02
-1.5864E-02,-4.31E-02
-1.5860E-02,3.69E-02
-1.5856E-02,-4.31E-02
-1.5852E-02,-4.31E-02
-1.5848E-02,3.69E-02
-1.5844E-02,-4.31E-02
-1.5840E-02,-4.31E-02
-1.5836E-02,-4.31E-02
-1.5832E-02,-4.31E-02
-1.5828E-02,-4.31E-02
-1.5824E-02,3.69E-02
-1.5820E-02,-1.23E-01
-1.5816E-02,-4.31E-02
-1.5812E-02,-4.31E-02
-1.5808E-02,3.69E-02
-1.5804E-02,3.69E-02
-1.5800E-02,-4.31E-02
-1.5796E-02,-4.31E-02
-1.5792E-02,-4.31E-02
-1.5788E-02,-4.31E-02
-1.5784E-02,-4.31E-02
-1.5780E-02,-4.31E-02
-1.5776E-02,-4.31E-02
-1.5772E-02,-4.31E-02
-1.5768E-02,-4.31E-02
-1.5764E-02,-4.31E-02
-1.5760E-02,3.69E-02
-1.5756E-02,-4.31E-02
-1.5752E-02,-4.31E-02
-1.5748E-02,-4.31E-02
-1.5744E-02,3.69E-02
-1.5740E-02,3.69E-02
-1.5736E-02,-4.31E-02
-1.5732E-02,-4.31E-02
-1.5728E-02,-4.31E-02
-1.5724E-02,-4.31E-02
-1.5720E-02,3.69E-02
-1.5716E-02,-4.31E-02
-1.5712E-02,-4.31E-02
-1.5708E-02,-4.31E-02
-1.5704E-02,-4.31E-02
-1.5700E-02,-4.31E-02
-1.5696E-02,-4.31E-02
-1.5692E-02,-4.31E-02
-1.5688E-02,-4.31E-02
-1.5684E-02,-4.31E-02
-1.5680E-02,-4.31E-02
-1.5676E-02,-4.31E-02
-1.5672E-02,-4.31E-02
-1.5668E-02,-4.31E-02
-1.5664E-02,-4.31E-02
-1.5660E-02,3.69E-02
-1.5656E-02,3.69E-02
-1.5652E-02,-4.31E-02
-1.5648E-02,3.69E-02
-1.5644E-02,-4.31E-02
-1.5640E-02,-4.31E-02
-1.5636E-02,3.69E-02
-1.5632E-02,-4.31E-02
-1.5628E-02,3.69E-02
-1.5624E-02,3.69E-02
-1.5620E-02,-4.31E-02
-1.5616E-02,-4.31E-02
-1.5612E-02,-4.31E-02
-1.5608E-02,3.69E-02
-1.5604E-02,-4.31E-02
-1.5600E-02,-4.31E-02
-1.5596E-02,3.69E-02
-1.5592E-02,-4.31E-02
-1.5588E-02,3.69E-02
-1.5584E-02,-1.23E-01
-1.5580E-02,-4.31E-02
-1.5576E-02,-4.31E-02
-1.5572E-02,-4.31E-02
-1.5568E-02,3.69E-02
-1.5564E-02,-4.31E-02
-1.5560E-02,3.69E-02
-1.5556E-02,3.69E-02
-1.5552E-02,-4.31E-02
-1.5548E-02,3.69E-02
-1.5544E-02,3.69E-02
-1.5540E-02,3.69E-02
-1.5536E-02,3.69E-02
-1.5532E-02,-4.31E-02
-1.5528E-02,3.69E-02
-1.5524E-02,3.69E-02
-1.5520E-02,-4.31E-02
-1.5516E-02,-4.31E-02
-1.5512E-02,3.69E-02
-1.5508E-02,-4.31E-02
-1.5504E-02,3.69E-02
-1.5500E-02,-4.31E-02
-1.5496E-02,-4.31E-02
-1.5492E-02,3.69E-02
-1.5488E-02,-4.31E-02
-1.5484E-02,3.69E-02
-1.5480E-02,3.69E-02
-1.5476E-02,-4.31E-02
-1.5472E-02,-4.31E-02
-1.5468E-02,-4.31E-02
-1.5464E-02,-4.31E-02
-1.5460E-02,3.69E-02
-1.5456E-02,-4.31E-02
-1.5452E-02,-4.31E-02
-1.5448E-02,3.69E-02
-1.5444E-02,-4.31E-02
-1.5440E-02,3.69E-02
-1.5436E-02,-4.31E-02
-1.5432E-02,-4.31E-02
-1.5428E-02,-4.31E-02
-1.5424E-02,-4.31E-02
-1.5420E-02,3.69E-02
-1.5416E-02,3.69E-02
-1.5412E-02,3.69E-02
-1.5408E-02,3.69E-02
-1.5404E-02,3.69E-02
-1.5400E-02,-4.31E-02
-1.5396E-02,3.69E-02
-1.5392E-02,-4.31E-02
-1.5388E-02,-4.31E-02
-1.5384E-02,-4.31E-02
-1.5380E-02,-4.31E-02
-1.5376E-02,3.69E-02
-1.5372E-02,3.69E-02
-1.5368E-02,-4.31E-02
-1.5364E-02,-4.31E-02
-1.5360E-02,-4.31E-02
-1.5356E-02,-4.31E-02
-1.5352E-02,-4.31E-02
-1.5348E-02,3.69E-02
-1.5344E-02,-4.31E-02
-1.5340E-02,3.69E-02
-1.5336E-02,-4.31E-02
-1.5332E-02,-4.31E-02
-1.5328E-02,-4.31E-02
-1.5324E-02,3.69E-02
-1.5320E-02,3.69E-02
-1.5316E-02,-4.31E-02
-1.5312E-02,3.69E-02
-1.5308E-02,-4.31E-02
-1.5304E-02,-4.31E-02
-1.5300E-02,3.69E-02
-1.5296E-02,3.69E-02
-1.5292E-02,3.69E-02
-1.5288E-02,3.69E-02
-1.5284E-02,3.69E-02
-1.5280E-02,3.69E-02
-1.5276E-02,-4.31E-02
-1.5272E-02,-4.31E-02
-1.5268E-02,3.69E-02
-1.5264E-02,3.69E-02
-1.5260E-02,3.69E-02
-1.5256E-02,3.69E-02
-1.5252E-02,-4.31E-02
-1.5248E-02,-4.31E-02
-1.5244E-02,3.69E-02
-1.5240E-02,3.69E-02
-1.5236E-02,3.69E-02
-1.5232E-02,3.69E-02
-1.5228E-02,1.17E-01
-1.5224E-02,-4.31E-02
-1.5220E-02,3.69E-02
-1.5216E-02,3.69E-02
-1.5212E-02,3.69E-02
-1.5208E-02,3.69E-02
-1.5204E-02,-4.31E-02
-1.5200E-02,1.17E-01
-1.5196E-02,3.69E-02
-1.5192E-02,-4.31E-02
-1.5188E-02,-4.31E-02
-1.5184E-02,3.69E-02
-1.5180E-02,-4.31E-02
-1.5176E-02,3.69E-02
-1.5172E-02,-4.31E-02
-1.5168E-02,-4.31E-02
-1.5164E-02,3.69E-02
-1.5160E-02,1.17E-01
-1.5156E-02,3.69E-02
-1.5152E-02,1.17E-01
-1.5148E-02,3.69E-02
-1.5144E-02,1.17E-01
-1.5140E-02,3.69E-02
-1.5136E-02,1.17E-01
-1.5132E-02,-4.31E-02
-1.5128E-02,3.69E-02
-1.5124E-02,-2.03E-01
-1.5120E-02,3.69E-02
-1.5116E-02,-4.31E-02
-1.5112E-02,-4.31E-02
-1.5108E-02,-4.31E-02
-1.5104E-02,-4.31E-02
-1.5100E-02,3.69E-02
-1.5096E-02,-4.31E-02
-1.5092E-02,1.97E-01
-1.5088E-02,-4.31E-02
-1.5084E-02,3.69E-02
-1.5080E-02,3.69E-02
-1.5076E-02,-4.31E-02
-1.5072E-02,1.17E-01
-1.5068E-02,3.69E-02
-1.5064E-02,3.69E-02
-1.5060E-02,3.69E-02
-1.5056E-02,1.17E-01
-1.5052E-02,-4.31E-02
-1.5048E-02,-4.31E-02
-1.5044E-02,-4.31E-02
-1.5040E-02,3.69E-02
-1.5036E-02,1.17E-01
-1.5032E-02,1.17E-01
-1.5028E-02,1.17E-01
-1.5024E-02,3.69E-02
-1.5020E-02,-4.31E-02
-1.5016E-02,-4.31E-02
-1.5012E-02,3.69E-02
-1.5008E-02,3.69E-02
-1.5004E-02,-4.31E-02
-1.5000E-02,3.69E-02
-1.4996E-02,3.69E-02
-1.4992E-02,-4.31E-02
-1.4988E-02,-1.23E-01
-1.4984E-02,-4.31E-02
-1.4980E-02,-4.31E-02
-1.4976E-02,-4.31E-02
-1.4972E-02,-4.31E-02
-1.4968E-02,-4.31E-02
-1.4964E-02,1.17E-01
-1.4960E-02,3.69E-02
-1.4956E-02,3.69E-02
-1.4952E-02,3.69E-02
-1.4948E-02,3.69E-02
-1.4944E-02,-4.31E-02
-1.4940E-02,3.69E-02
-1.4936E-02,3.69E-02
